url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://hotrosinhvien.utc.edu.vn/tin-tuc/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-c%C3%A1c-v%E1%BA%A5n-%C4%91%E1%BB%81-h%E1%BB%8Dc-ph%C3%AD-%E2%80%93-h%E1%BB%8Dc-b%E1%BB%95ng-tr%E1%BB%A3-c%E1%BA%A5p,utc-hoc-phi-hoc-bong,Hướng dẫn các vấn đề học phí học bổng trợ cấp Trường ĐH Giao thông vận tải,student,cong-tac-sinh-vien,hoc-bong,vi,not-stated,public-source
https://hotrosinhvien.utc.edu.vn/tin-tuc/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-v%E1%BB%81-ch%E1%BA%BF-%C4%91%E1%BB%99-ch%C3%ADnh-s%C3%A1ch,utc-che-do-chinh-sach,Hướng dẫn về chế độ chính sách miễn giảm học phí trợ cấp xã hội Trường ĐH Giao thông vận tải,student,cong-tac-sinh-vien,chinh-sach,vi,not-stated,public-source
