doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hinh-thuc-thoi-luong-thi,data/khao-thi-phuc-khao/hinh-thuc-thoi-luong-thi.md,"Hình thức và thời lượng kiểm tra, đánh giá và thi (Điều 6)",https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QD-DHCN ngay 21/02/2025,public-source (van ban quy che cong bo tren website truong)
nguoi-hoc-du-thi,data/khao-thi-phuc-khao/nguoi-hoc-du-thi.md,Trách nhiệm của người học khi dự thi (Điều 13),https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QD-DHCN ngay 21/02/2025,public-source (van ban quy che cong bo tren website truong)
phuc-khao-nguoi-hoc,data/khao-thi-phuc-khao/phuc-khao-nguoi-hoc.md,Phúc khảo — phần dành cho người học (Điều 26),https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QD-DHCN ngay 21/02/2025,public-source (van ban quy che cong bo tren website truong)
phuc-khao-giang-vien,data/khao-thi-phuc-khao/phuc-khao-giang-vien.md,"Phúc khảo và lưu trữ — phần dành cho giảng viên, đơn vị (Điều 26, 27)",https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QD-DHCN ngay 21/02/2025,public-source (van ban quy che cong bo tren website truong)
cham-thi,data/khao-thi-phuc-khao/cham-thi.md,"Chấm thi tự luận, vấn đáp, tiểu luận và nhập điểm (Điều 21, 23, 24, 25)",https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QD-DHCN ngay 21/02/2025,public-source (van ban quy che cong bo tren website truong)
can-bo-coi-thi,data/khao-thi-phuc-khao/can-bo-coi-thi.md,"Bố trí phòng thi và trách nhiệm của cán bộ coi thi (Điều 10, 11)",https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QD-DHCN ngay 21/02/2025,public-source (van ban quy che cong bo tren website truong)
bien-soan-de-thi,data/khao-thi-phuc-khao/bien-soan-de-thi.md,"Biên soạn, duyệt và in sao đề thi (Điều 7, 8, 9)",https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QD-DHCN ngay 21/02/2025,public-source (van ban quy che cong bo tren website truong)
xu-ly-vi-pham-nguoi-hoc,data/khao-thi-phuc-khao/xu-ly-vi-pham-nguoi-hoc.md,Hình thức và thủ tục xử lý người học vi phạm quy chế thi (Điều 29),https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QD-DHCN ngay 21/02/2025,public-source (van ban quy che cong bo tren website truong)
xu-ly-vi-pham-can-bo,data/khao-thi-phuc-khao/xu-ly-vi-pham-can-bo.md,"Xử lý vi phạm quy chế tổ chức thi, chấm thi đối với cán bộ (Điều 30)",https://tqa.iuh.edu.vn/wp-content/uploads/2025/12/Quyet-dinh-so-610-QD-DHCN-ve-viec-ban-hanh-Quy-che-quan-ly-cong-tac-thi-va-danh-gia-ket-qua-hoc-tap..pdf,2026-09-19,610/QD-DHCN ngay 21/02/2025,public-source (van ban quy che cong bo tren website truong)
